date,crop_price_per_unit
2019-04-01,285.6929499663783
2019-05-01,291.5116359994792
2019-06-01,286.641673139867
2019-07-01,261.3773140709276
2019-08-01,228.97346655672567
2019-09-01,255.83700437673923
2019-10-01,240.63570087259507
2019-11-01,200.2941857910635
2019-12-01,281.7792599301881
2020-01-01,281.317798975225
2020-02-01,308.85854807392883
2020-03-01,336.0421370849927
2020-04-01,315.56123075085554
2020-05-01,351.76159165580094
2020-06-01,337.60392256495095
2020-07-01,316.8109393415895
2020-08-01,325.09250351492574
2020-09-01,283.5165837230327
2020-10-01,318.20651219337236
2020-11-01,332.7275074709874
2020-12-01,342.1772162610419
2021-01-01,367.7776841509725
2021-02-01,390.3792907197326
2021-03-01,375.65009888727155
2021-04-01,401.6029663157434
2021-05-01,371.5803289897347
2021-06-01,345.17844954357605
2021-07-01,332.50032669138557
2021-08-01,326.27762324786937
2021-09-01,326.72279484991316
2021-10-01,295.66342871453026
2021-11-01,280.487052709529
2021-12-01,327.91151054741005
2022-01-01,279.3036697730668
2022-02-01,303.62958269947075
2022-03-01,339.8954974229469
2022-04-01,355.6949733124967
2022-05-01,320.59438739794086
2022-06-01,300.0596797128407
2022-07-01,269.8273575368592
2022-08-01,267.7937561464234
2022-09-01,245.30532111746135
2022-10-01,221.21539629414482
2022-11-01,232.54307120460362
2022-12-01,231.57883699769718
2023-01-01,264.2723122876162
2023-02-01,283.1645463921613
2023-03-01,325.3721347720352
2023-04-01,287.3580808606232
2023-05-01,295.0639568282415
2023-06-01,317.0159594157023
2023-07-01,317.7464479498306
2023-08-01,281.5561480975373
2023-09-01,261.9479744575028
2023-10-01,259.90547503632627
2023-11-01,243.21694933413482
2023-12-01,279.41832440708305
