control_damage_percent,organic_treatment_damage,chemical_treatment_damage
17.851373880312245,60.95652025914981,16.552835048043505
9.384156775132833,32.34986539809391,25.852628766373474
12.781504646113135,39.85806907243389,20.73191523966332
24.20598362513052,27.00340637280998,18.559146802133984
35.12113230992252,54.25441498810066,22.987933326192177
45.40419215496209,42.59043756380359,16.6194156188694
15.53035362560281,7.425605567994255,38.40028673701296
11.423484507710755,23.92415599082124,13.242316421433806
16.300140802070835,55.0801919846233,33.93648271547012
34.16764431742283,22.9816556230792,14.886860892936154
15.496968982653414,48.7701323928718,42.201750914905936
30.04089633681773,24.80174922964567,12.67924285791475
38.58534100193274,55.86145478735794,18.311483165864352
11.943268128828914,32.32930058843325,42.6184584190535
14.686617798783999,23.90138321712339,51.7947690379892
30.61904691698648,21.600436227574573,26.934337271478636
41.21678693984227,46.37310951139676,31.770277459026413
37.19284466508147,19.257185650596707,29.677633066813204
7.2523104266883855,39.112896610645706,16.70663499123478
71.09081296166147,84.81573845497623,24.83105395203511
34.105003920162794,32.07878356239418,27.20004517443313
19.812444361231925,69.62622939343272,8.55935063436411
32.83783886566317,52.51627703423829,30.08616740894664
18.353374988479697,44.897945506225646,15.040308406533812
36.75862576211938,33.21585122799487,15.095809770598684
19.764713225520797,45.65881690836678,18.09787576314857
9.52093938383198,20.271744077832533,34.69221407997252
30.423978460389318,23.904402825528777,20.535507004721186
31.508612911080615,33.91029189980818,32.51922571660741
33.35412996474369,56.64650857178859,31.516054655223098
13.706025624883475,54.9118086100918,39.93656928242126
37.92758412578441,53.18390172958052,19.49990944623608
34.53341719587714,18.283133740013607,23.633672703962464
19.430129642439674,28.158929470618432,17.61726929161975
23.078429769018722,58.23374285791686,13.981794030194509
46.56621846799007,40.575867258561075,40.46422177047867
27.638918881551955,65.23410127124859,26.6320031338826
41.003135899727866,22.743070430043204,17.00995133662697
30.83349391702254,29.548252716802885,16.452186786836698
47.232223472991826,52.463687826580916,22.702276488458068
29.165242963383893,25.228711875353056,40.26494298526852
39.631350196071395,43.018626054942565,40.862343812984555
28.004254872220315,47.33122345678603,43.13626702840793
29.835887578324243,56.207605373047485,36.56460184863374
29.765652378827788,31.627453802956907,25.15458023449494
10.47788434570547,31.19778220029574,40.319350209634806
38.2092318048093,55.953828767758786,31.07609437697848
25.443583061089765,68.85995843507686,38.30234232405807
19.72542684748596,40.31910237754257,36.74885180884033
14.00676002688871,53.60573336230701,18.137107703881483
6.906608373173236,37.590842891494255,37.203267096519724
52.643382843935136,29.551413021912747,50.734019772194586
30.39852621279926,50.16500103737014,17.249834061353855
24.069581639043058,44.800031006117166,17.95780822172609
19.91071089281112,46.63728858836228,30.96303978326685
35.44622405728365,30.480048827842765,14.01837052548553
29.657395470064586,48.757789978794044,35.95589350514729
21.613034805247533,31.542814945856517,20.02809598459408
13.000572451710704,74.95206105423581,36.11758072332594
25.6423435709635,46.34033387499172,29.538754715970146
57.09076299164869,46.18569162896943,22.73871952695487
23.932304204626185,50.475522457754685,38.44851152589064
30.48319063863628,22.321910647449762,25.17090719473974
20.070230975029066,47.7277346510571,39.839912442603215
5.958383142529357,41.179373368705704,25.859379649927057
22.721679982442215,46.02857343630348,24.890416653343518
39.76637456938327,35.18400937425592,20.20138564913674
13.056895404544203,44.05409978569717,23.69165261013212
30.220165087574323,14.628561561033548,25.645756778719857
23.28690839170714,51.8427831384025,37.934902589036504
9.104455275603392,55.752930585604275,17.481847940113866
35.380051637157095,53.06965555003165,15.87724820054755
18.323778548504503,49.75162167503328,17.715509853194153
50.58848547780062,26.293206361231192,30.932207355440422
34.280333329676196,53.13639749009037,25.837549441642444
42.40530060029467,46.41872068718411,27.806873798704796
6.855063740872243,66.20249335925274,43.40663891558351
25.33647198209042,20.61193214526391,18.206992065125284
